,date,city,musical,cast,theatre
32,2024-02-03 19:30:00,广州,阿波罗尼亚,陈科铭 张毅凯 李玉言,阿波罗尼亚·广州馆
33,2024-02-03 14:30:00,南京,狄俄尼索斯,陈诺 姜呈洋 王瑞 林甫,布洛幕小剧场
34,2024-02-03 19:30:00,南京,狄俄尼索斯,陈茜雅 刘牧 陈晨 褚威,布洛幕小剧场
35,2024-02-03 14:00:00,西安,丝路之声,梁广 刘玥岑 江柏成 孙晶俐 张书豪 尉梦飞 孙紫薇 韩烨 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
36,2024-02-03 15:30:00,苏州,TRACE U,张泽 徐昊,苏州湾大剧院歌剧厅
0,2024-02-04 14:30:00,上海,嗜血博士,相征 徐佳文 洪果,星空间1023号·涵金小剧场
1,2024-02-04 17:00:00,上海,阿尔托，梵高,钟嘉诚 林大钦 毛寅东,星空间17号·NFP小剧场
2,2024-02-04 19:30:00,上海,狗和猫的时间,崔恩尔 余思冉,上海共舞台
3,2024-02-04 19:30:00,上海,嫌疑人X的献身,叶麒圣 王啸坤 蒋倩如 桑可舟 潘珏辰 刘钊 陈希琰,人民大舞台
4,2024-02-04 19:30:00,上海,FLAMES火焰,卓群 田野 汤佳明,星空间4号·缪时客小剧场
5,2024-02-04 19:30:00,上海,辛吉路的画材店,李珏 左溢 王颢珏,星空间2号·好好有戏剧场
6,2024-02-04 19:30:00,上海,翻国王棋,蛋蛋 李秋盟 李佳音 唐超 李子涵 张烜尔,星空间77号·鲸剧场
7,2024-02-04 19:30:00,上海,I LOVE YOU…,白倬铭 毛珏懿 徐奕然 陈姝月,上海话剧艺术中心戏剧沙龙
8,2024-02-04 19:30:00,上海,摇滚太白·诗与星,胥子含 杜钇樵 钟嘉媚,星空间407号·她剧场
9,2024-02-04 19:30:00,上海,梦微之,许昌泰 叶宇锋,星空间33号 鲸·剧场
10,2024-02-04 19:30:00,上海,时光代理人,纪晓坤 郭虹旭 蔡璐 廖婧媛 周波,时光剧场
11,2024-02-04 19:30:00,上海,#0528,姜义哲 刘政 刘瀚聪,星空间28号·好好有戏小剧场
12,2024-02-04 19:30:00,上海,疯子与赞美诗,傅祥安 邵立君,星空间111号·墨剧场
13,2024-02-04 14:00:00,成都,熊猫,,熊猫剧院
14,2024-02-04 19:30:00,成都,灯塔,杨博皓 杜皓云 杜舟,西部文化产业中心·鲸剧场
15,2024-02-04 14:30:00,广州,阿波罗尼亚,陈科铭 张毅凯 李玉言,阿波罗尼亚·广州馆
0,2024-02-05 19:30:00,上海,时光代理人,滕春鹏 王敏辉 吴杭律 于梦滢 张嘉豪,时光剧场
0,2024-02-06 19:30:00,上海,翻国王棋,顾易 李秋盟 宁梦恬 薛尚文 李子涵 杨琳,星空间77号·鲸剧场
1,2024-02-06 19:30:00,上海,AI,翟松 强东玥,长宁来福士The Bell 钟楼演艺新空间
2,2024-02-06 14:00:00,成都,熊猫,,熊猫剧院
3,2024-02-06 14:00:00,西安,丝路之声,梁广 田恬 周熙智 李佳璐 谭建业 张书豪 杨雨婷 王笑语 林梦圆 张潇寒,丝路欢乐世界·琴音剧场
0,2024-02-07 19:30:00,上海,嫌疑人X的献身,叶麒圣 王瀚宇 徐丽东 孙豆尔 陈恬 钱蒙楠 陈希琰,人民大舞台
1,2024-02-07 19:30:00,上海,小说,相征 周宇杰 汤佳明,星空间115号·缪时客小剧场
2,2024-02-07 19:30:00,上海,FLAMES火焰,谢一溦 田野 顾易,星空间4号·缪时客小剧场
3,2024-02-07 19:30:00,上海,AI,张铎 孙彩纶,长宁来福士The Bell 钟楼演艺新空间
4,2024-02-07 14:00:00,成都,熊猫,,熊猫剧院
5,2024-02-07 14:00:00,西安,丝路之声,谭建业 田恬 刘靖 孙晶俐 张书豪 尉梦飞 孙紫薇 王笑语 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
0,2024-02-08 19:30:00,上海,嫌疑人X的献身,叶麒圣 王瀚宇 徐丽东 孙豆尔 廖婧媛 钱蒙楠 陈希琰,人民大舞台
1,2024-02-08 19:30:00,上海,月亮与六便士,黄浦申 黎宛曈 薛尚文 田梦,星空间815号·缪时客小剧场
2,2024-02-08 19:30:00,上海,小说,徐佳文 吴俊鹏 杜航,星空间115号·缪时客小剧场
3,2024-02-08 14:00:00,成都,熊猫,,熊猫剧院
4,2024-02-08 14:00:00,西安,丝路之声,梁广 田恬 刘靖 孙晶俐 谭建业 张书豪 杨雨婷 韩烨 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
0,2024-02-10 11:00:00,成都,熊猫,,熊猫剧院
1,2024-02-10 13:20:00,成都,熊猫,,熊猫剧院
2,2024-02-10 15:20:00,成都,熊猫,,熊猫剧院
3,2024-02-10 14:00:00,西安,丝路之声,丁辉 田恬 江柏成 孙晶俐 谭建业 张书豪 杨雨婷 韩烨 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
4,2024-02-10 16:30:00,西安,丝路之声,梁广 田恬 江柏成 孙晶俐 谭建业 张书豪 杨雨婷 韩烨 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
0,2024-02-11 11:00:00,成都,熊猫,,熊猫剧院
1,2024-02-11 13:20:00,成都,熊猫,,熊猫剧院
2,2024-02-11 15:20:00,成都,熊猫,,熊猫剧院
3,2024-02-11 14:00:00,西安,丝路之声,丁辉 年蔓婷 江柏成 孙晶俐 谭建业 张书豪 杨雨婷 王笑语 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
4,2024-02-11 16:30:00,西安,丝路之声,梁广 田恬 江柏成 孙晶俐 谭建业 张书豪 孙紫薇 王笑语 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
0,2024-02-12 14:30:00,上海,阿尔托，梵高,白一博 施博威 毛寅东,星空间17号·NFP小剧场
1,2024-02-12 11:00:00,成都,熊猫,,熊猫剧院
2,2024-02-12 13:20:00,成都,熊猫,,熊猫剧院
3,2024-02-12 15:20:00,成都,熊猫,,熊猫剧院
4,2024-02-12 14:00:00,西安,丝路之声,丁辉 年蔓婷 江柏成 李佳璐 谭建业 张书豪 杨雨婷 韩烨 林梦圆 张潇寒,丝路欢乐世界·琴音剧场
5,2024-02-12 16:30:00,西安,丝路之声,梁广 田恬 江柏成 李佳璐 谭建业 张书豪 杨雨婷 韩烨 林梦圆 张潇寒,丝路欢乐世界·琴音剧场
0,2024-02-13 14:30:00,上海,恋爱吧！人类,潘龙 王款儿 林瀚青 罗月宁,开心麻花剧场-上海南翔印象城店
